Name,Year,Body_Type,Origin,Province,District,Transmission,Fuel_Type,Brand,price_num,age,mileage_num
Hyundai Santa Fe 2.2L Dầu Cao cấp 2021,2021,SUV,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy dầu,Hyundai,1085000000,4,72689
Hyundai Santa Fe 2.4L Xăng Cao cấp 2016,2016,SUV,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Hyundai,585000000,9,85689
Mazda 3 1.5 Hatchback 2017,2017,Sedan,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Mazda,425000000,8,110000
Kia Seltos 1.4 Luxury 2021,2021,SUV,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Kia,565000000,4,50000
Mazda 3 1.5 Hatchback 2017,2017,Hatchback,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Mazda,425000000,8,81829
Mazda 3 2.0L Sedan 2016,2016,Sedan,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Mazda,379000000,9,100000
Mazda 3 1.5L Sedan 2019,2019,Sedan,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Mazda,465000000,6,65689
Kia Cerato 1.6 AT Luxury 2018,2018,Sedan,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Kia,405000000,7,65689
MG 5 1.5L Luxury 2022,2022,Sedan,Nhập khẩu,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,MG,415000000,3,39899
Mazda 3 Sedan 1.5L Luxury 2019,2019,Sedan,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Mazda,465000000,6,67899
Mazda CX-5 2.5L Luxury 2018,2018,SUV,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Mazda,599000000,7,85680
Mazda CX-5 2.5L Luxury 2017,2017,SUV,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Mazda,515000000,8,96896
VinFast LUX A2.0 Cao cấp 2019,2019,Sedan,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,VinFast,535000000,6,67899
Kia Sonet 1.5 Premium 2022,2022,SUV,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Kia,535000000,3,45689
Mercedes-Benz C300 AMG 2015,2015,Sedan,Nhập khẩu,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,650000000,10,70000
Ford EcoSport Titanium 1.5L AT 2021,2021,SUV,Trong nước,Tp.HCM,Tân Phú,Số tự động,Máy xăng,Ford,495000000,4,72000
Ford Escape 2012,2012,SUV,Trong nước,Hà Nội,Other,Số tự động,Máy xăng,Ford,270000000,13,120000
Hyundai Santa Fe 2.4L Xăng Đặc biệt 2015,2015,SUV,Trong nước,Hà Nội,Other,Số tự động,Máy xăng,Hyundai,568000000,10,120000
Kia Morning MT 2011,2011,Hatchback,Trong nước,Phú Thọ,Hạ Hòa,Số sàn,Máy xăng,Kia,86000000,14,150000
Ford Ranger Wildtrak 3.2 4x4 AT 2016,2016,Other,Nhập khẩu,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Ford,530000000,9,12000
Hyundai Tucson 1.6 Turbo HTRAC 2019,2019,SUV,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Hyundai,700000000,6,70000
Ford Everest Titanium 2.0 AT 4x2 2019,2019,SUV,Nhập khẩu,Tp.HCM,Tân Phú,Số tự động,Máy dầu,Ford,850000000,6,76000
BMW 520i Luxury Line 2020,2020,Sedan,Nhập khẩu,Tp.HCM,Quận 7,Số tự động,Máy xăng,BMW,1399000000,5,48888
Mitsubishi Xpander Cross 1.5 AT 2020,2020,SUV,Trong nước,Hà Nội,Đông Anh,Số tự động,Máy xăng,Mitsubishi,498000000,5,61000
Mercedes-Benz V250 AMG 2020,2020,Van/Minivan,Nhập khẩu,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,1650000000,5,82000
Kia Carens SX 2.0 AT 2011,2011,MPV,Trong nước,Hà Nội,Đông Anh,Số tự động,Máy xăng,Kia,230000000,14,120000
Honda CR-V 2.4L TG 2015,2015,SUV,Trong nước,Hà Nội,Đông Anh,Số tự động,Máy xăng,Honda,470000000,10,90000
Honda CR-V 2.4L TG 2010,2010,SUV,Nhập khẩu,Hà Nội,Đông Anh,Số tự động,Máy xăng,Honda,285000000,15,100000
Ford Ranger Wildtrak 3.2 4x4 AT 2016,2016,Bán tải,Nhập khẩu,Hà Nội,Cầu Giấy,Số tự động,Máy dầu,Ford,520000000,9,100000
Ford Everest 2020,2020,Other,Trong nước,Hà Nội,Other,Số tự động,Máy xăng,Ford,860000000,5,8200
Hyundai i20 1.4 AT 2015,2015,Hatchback,Nhập khẩu,Phú Thọ,Hạ Hòa,Số tự động,Máy xăng,Hyundai,345000000,10,110000
Ford Ranger 2017,2017,Bán tải,Nhập khẩu,Hà Nội,Nam Từ Liêm,Số tự động,Máy dầu,Ford,575000000,8,90000
Peugeot 3008 GT 2022,2022,Other,Nhập khẩu,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Peugeot,855000000,3,57000
Toyota Camry 2.4G 2012,2012,Sedan,Trong nước,Hà Nội,Other,Số tự động,Máy xăng,Toyota,360000000,13,120000
Ford Ranger XLS 2.2 4x2 AT 2017,2017,Other,Trong nước,Phú Thọ,Hạ Hòa,Số tự động,Máy dầu,Ford,450000000,8,50000
Hyundai Tucson 2.0 Dầu đặc biệt 2019,2019,Crossover,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy dầu,Hyundai,675000000,6,93000
Peugeot 3008 2022,2022,SUV,Nhập khẩu,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Peugeot,725000000,3,22000
Ford Ranger XLS 2.0L 4x2 AT 2016,2016,Bán tải,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Ford,420000000,9,70000
Ford EcoSport Titanium 1.5L AT 2015,2015,SUV,Trong nước,Hà Nội,Gia Lâm,Số tự động,Máy xăng,Ford,275000000,10,129000
