name,price,year,status,origin,mileage,fuel_type,body_type,brand,age
Ford Ranger 2016,455000000,2016,Xe cũ,Nhập khẩu,121000.0,dầu,Bán tải,Ford,9
Hyundai Santa Fe 2.2 Dầu Cao cấp 2019,820000000,2019,Xe cũ,Trong nước,80000.0,dầu,SUV,Hyundai,6
Ford Ranger XLS 2.0L 4x2 AT 2014,344000000,2014,Xe cũ,Nhập khẩu,100000.0,dầu,Bán tải,Ford,11
Mazda CX-5 2.0 Deluxe 2023,690000000,2023,Xe cũ,Trong nước,45176.0,xăng,SUV,Mazda,2
Volkswagen Teramont X 2022,1738000000,2022,Xe cũ,Trong nước,16666.0,xăng,Other,Volkswagen,3
Mercedes-Benz V250 Luxury 2019,1559000000,2019,Xe cũ,Nhập khẩu,42000.0,xăng,Van/Minivan,Mercedes,6
Ford Everest 2.0L ST5 6AT 2WD Titanium 2018,830000000,2018,Xe cũ,Nhập khẩu,77000.0,dầu,SUV,Ford,7
Chevrolet Spark 1.0 2015,98000000,2015,Xe cũ,Trong nước,82000.0,xăng,Hatchback,Chevrolet,10
Mazda 3 1.5L Sedan 2017,379000000,2017,Xe cũ,Trong nước,90000.0,xăng,Sedan,Mazda,8
VinFast VF8 Eco 2023,760000000,2023,Xe cũ,Trong nước,18000.0,khác,SUV,VinFast,2
Ford Ranger Wildtrak 2.0L 4x4 AT 2022,785000000,2022,Xe cũ,Nhập khẩu,60000.0,dầu,Bán tải,Ford,3
Toyota Fortuner 2.4 MT 4x2 2017,610000000,2017,Xe cũ,Nhập khẩu,150000.0,dầu,SUV,Toyota,8
BMW 330i 2023,1739000000,2023,Xe cũ,Trong nước,4000.0,xăng,Sedan,BMW,2
Mercedes-Benz C200 2001,59000000,2001,Xe cũ,Nhập khẩu,110000.0,xăng,Sedan,Mercedes,24
Mercedes-Benz GLC 300 4Matic 2021,1690000000,2021,Xe cũ,Trong nước,20000.0,xăng,SUV,Mercedes,4
Mercedes-Benz C250 AMG 2010,220000000,2010,Xe cũ,Nhập khẩu,81000.0,xăng,Sedan,Mercedes,15
Lexus RX 200T T 2016,1700000000,2016,Xe cũ,Nhập khẩu,80000.0,xăng,SUV,Lexus,9
Honda CR-V 1.5 L 2020,855000000,2020,Xe cũ,Trong nước,43000.0,xăng,SUV,Honda,5
Mercedes-Benz E200 E200 2019,1050000000,2019,Xe cũ,Nhập khẩu,50000.0,xăng,Sedan,Mercedes,6
Mazda 2 Sedan 1.5L Premium 2017,345000000,2017,Xe cũ,Trong nước,85000.0,xăng,Sedan,Mazda,8
Ford EcoSport Titanium 1.5L AT 2014,290000000,2014,Xe cũ,Nhập khẩu,66000.0,xăng,SUV,Ford,11
Mazda 6 2.5L 2015,399000000,2015,Xe cũ,Trong nước,110000.0,xăng,Sedan,Mazda,10
Honda CR-V 1.5 L 2023,920000000,2023,Xe cũ,Trong nước,40000.0,xăng,SUV,Honda,2
Nissan Navara EL Premium 2019,460000000,2019,Xe cũ,Nhập khẩu,71000.0,dầu,Bán tải,Nissan,6
Mitsubishi Grandis 2.4 MIVEC 2010,247000000,2010,Xe cũ,Trong nước,90000.0,xăng,MPV,Mitsubishi,15
Hyundai Elantra   2.0 AT 2018,445000000,2018,Xe cũ,Trong nước,52000.0,xăng,Sedan,Hyundai,7
Mercedes-Benz GLC 200 4Matic 2021,1559000000,2021,Xe cũ,Trong nước,27500.0,xăng,SUV,Mercedes,4
Mitsubishi Outlander 2.4 CVT Premium 2022,769000000,2022,Xe cũ,Trong nước,12000.0,xăng,SUV,Mitsubishi,3
Honda City 1.5 CVT 2017,828000000,2017,Xe cũ,Trong nước,88000.0,xăng,Sedan,Honda,8
Isuzu D-Max LS 3.0 4x2 AT 2008,195000000,2008,Xe cũ,Trong nước,160000.0,dầu,Bán tải,Isuzu,17
Toyota Innova 2.0E 2018,388000000,2018,Xe cũ,Trong nước,90000.0,xăng,MPV,Toyota,7
Toyota Fortuner 2.7 V 4X2 AT 2010,310000000,2010,Xe cũ,Trong nước,100000.0,xăng,SUV,Toyota,15
Mercedes-Benz C200 Exclusive 2020,1039000000,2020,Xe cũ,Nhập khẩu,13000.0,xăng,Sedan,Mercedes,5
Toyota Innova 2.0E 2017,396000000,2017,Xe cũ,Trong nước,139000.0,xăng,Other,Toyota,8
Kia K3 1.6AT 2022,555000000,2022,Xe cũ,Trong nước,45000.0,xăng,Other,Kia,3
Kia Forte SLI 1.6 AT 2011,255000000,2011,Xe cũ,Trong nước,92580.0,xăng,Sedan,Kia,14
Kia Cerato 1.6 MT 2018,295000000,2018,Xe cũ,Trong nước,80000.0,xăng,Sedan,Kia,7
Kia Carnival 2.2D Signature 2022,1250000000,2022,Xe cũ,Trong nước,39000.0,dầu,MPV,Kia,3
Kia Seltos 1.4T Premium 2023,655000000,2023,Xe cũ,Trong nước,14000.0,xăng,SUV,Kia,2
VinFast LUX A2.0 2022,558000000,2022,Xe cũ,Trong nước,69000.0,xăng,Sedan,VinFast,3
Toyota Fortuner 2.4G 4x2 AT  2017,525000000,2017,Xe cũ,Nhập khẩu,135.0,dầu,SUV,Toyota,8
VinFast LUX A2.0 Cao cấp 2020,580000000,2020,Xe cũ,Trong nước,76000.0,xăng,Other,VinFast,5
Ford EcoSport Titanium 1.5L AT 2020,455000000,2020,Xe cũ,Trong nước,85000.0,xăng,Convertible,Ford,5
Toyota Corolla Altis 1.8 G 2010,275000000,2010,Xe cũ,Trong nước,170000.0,xăng,Sedan,Toyota,15
Mitsubishi Xpander 1.5 AT  2020,465000000,2020,Xe cũ,Nhập khẩu,80000.0,xăng,Other,Mitsubishi,5
Mazda 2 1.5AT 2014,285000000,2014,Xe cũ,Trong nước,72000.0,xăng,Sedan,Mazda,11
Hyundai Creta 1.6 AT Diesel 2015,363000000,2015,Xe cũ,Nhập khẩu,98000.0,dầu,SUV,Hyundai,10
Kia Seltos 1.6 Luxury 2024,649000000,2024,Xe cũ,Trong nước,22000.0,xăng,SUV,Kia,1
Kia Cerato 1.6 AT Premium 2018,360000000,2018,Xe cũ,Trong nước,80000.0,xăng,Sedan,Kia,7
Mazda 3 1.5L Sedan 2019,465000000,2019,Xe cũ,Trong nước,80000.0,xăng,Sedan,Mazda,6
Mitsubishi Xpander 1.5 AT  2021,490000000,2021,Xe cũ,Nhập khẩu,60.0,xăng,MPV,Mitsubishi,4
BMW 320i Sport Line 2022,1238000000,2022,Xe cũ,Nhập khẩu,10000.0,xăng,Sedan,BMW,3
Toyota Raize 2021,449000000,2021,Xe cũ,Nhập khẩu,69000.0,xăng,Crossover,Toyota,4
Toyota Corolla Altis 1.8 G 2019,555000000,2019,Xe cũ,Trong nước,53000.0,xăng,Sedan,Toyota,6
Kia Soluto AT Luxury 2022,405000000,2022,Xe cũ,Trong nước,30000.0,xăng,Sedan,Kia,3
Kia Carens SX 2.0 MT 2016,235000000,2016,Xe cũ,Nhập khẩu,110000.0,xăng,MPV,Kia,9
Kia Morning Si 1.25 MT 2017,200000000,2017,Xe cũ,Trong nước,120000.0,xăng,Hatchback,Kia,8
Honda Civic 1.5 E 2021,580000000,2021,Xe cũ,Nhập khẩu,47000.0,xăng,Sedan,Honda,4
Hyundai Santa Fe 2.2L Dầu Tiêu chuẩn 2021,840000000,2021,Xe cũ,Trong nước,75000.0,dầu,SUV,Hyundai,4
Mitsubishi Xpander Cross 1.5 AT 2023,640000000,2023,Xe cũ,Trong nước,30000.0,xăng,SUV,Mitsubishi,2
VinFast SA President 2020,585000000,2020,Xe cũ,Trong nước,69000.0,xăng,Sedan,VinFast,5
Mercedes-Benz C250 Exclusive 2016,585000000,2016,Xe cũ,Nhập khẩu,60000.0,xăng,Sedan,Mercedes,9
Ford Transit MID Tiêu chuẩn 2016,390000000,2016,Xe cũ,Trong nước,80000.0,dầu,Van/Minivan,Ford,9
Kia K3 2.0 Premium 2024,615000000,2024,Xe cũ,Trong nước,2900.0,xăng,Sedan,Kia,1
Kia Cerato 2.0 AT Premium 2019,425000000,2019,Xe cũ,Nhập khẩu,75000.0,xăng,Sedan,Kia,6
VinFast VF e34 Tiêu chuẩn 2022,469000000,2022,Xe cũ,Trong nước,68000.0,khác,Other,VinFast,3
Kia Carnival 2.2D Signature 2023,1270000000,2023,Xe cũ,Trong nước,30000.0,dầu,MPV,Kia,2
Nissan X trail 2.0 SL 2WD Premium 2017,489000000,2017,Xe cũ,Trong nước,100000.0,xăng,SUV,Nissan,8
Ford Ranger Wildtrak 3.2 4x4 AT 2017,605000000,2017,Xe cũ,Nhập khẩu,90000.0,dầu,Bán tải,Ford,8
Kia K5 2.5 GT-Line 2022,779000000,2022,Xe cũ,Trong nước,20000.0,xăng,Sedan,Kia,3
Ford Everest Ambiente 2.0 AT 4x2 2023,1030000000,2023,Xe cũ,Nhập khẩu,11500.0,dầu,SUV,Ford,2
Hyundai Santa Fe MLX 2006,230000000,2006,Xe cũ,Nhập khẩu,170751.0,dầu,SUV,Hyundai,19
Mercedes-Benz E300 AMG 2021,1899000000,2021,Xe cũ,Trong nước,33333.0,xăng,Sedan,Mercedes,4
Mazda 3 1.5L Sedan 2019,465000000,2019,Xe cũ,Trong nước,65689.0,xăng,Sedan,Mazda,6
Chevrolet Lacetti EX 1.6 AT 2009,128000000,2009,Xe cũ,Nhập khẩu,12000.0,xăng,Sedan,Chevrolet,16
Toyota Fortuner 2.7V 2010,335000000,2010,Xe cũ,Nhập khẩu,135000.0,xăng,SUV,Toyota,15
Mazda CX-5 2.0 Luxury 2021,649000000,2021,Xe cũ,Trong nước,40000.0,xăng,SUV,Mazda,4
Honda CR-V 1.5 L 2018,695000000,2018,Xe cũ,Nhập khẩu,120000.0,xăng,SUV,Honda,7
Mazda CX-5 2.0 Luxury 2024,765000000,2024,Xe cũ,Trong nước,8000.0,xăng,SUV,Mazda,1
Ford Ranger Wildtrak 3.2 4x4 AT 2017,545000000,2017,Xe cũ,Nhập khẩu,130000.0,dầu,Bán tải,Ford,8
Kia Cerato 2.0 AT Premium 2020,485000000,2020,Xe cũ,Trong nước,60000.0,xăng,Sedan,Kia,5
Mitsubishi Pajero GL 3.0 MT 2003,110000000,2003,Xe cũ,Nhập khẩu,15000.0,xăng,SUV,Mitsubishi,22
BMW 730Li M Sport 2011,480000000,2011,Xe cũ,Nhập khẩu,100000.0,xăng,Sedan,BMW,14
Mitsubishi Xpander AT Premium 2019,445000000,2019,Xe cũ,Nhập khẩu,80000.0,xăng,MPV,Mitsubishi,6
VinFast Fadil Nâng Cao 2020,299000000,2020,Xe cũ,Trong nước,56000.0,xăng,Bán tải,VinFast,5
Ford Ranger XLS 2.2 4x2 AT 2019,539000000,2019,Xe cũ,Trong nước,98000.0,dầu,Bán tải,Ford,6
Ford Ranger XLS 2.0L 4x2 AT 2016,420000000,2016,Xe cũ,Trong nước,70000.0,xăng,Bán tải,Ford,9
Kia K3 2.0AT 2014,340000000,2014,Xe cũ,Trong nước,120000.0,xăng,Sedan,Kia,11
Mercedes-Benz GLK 250 4Matic 2014,599000000,2014,Xe cũ,Trong nước,66000.0,xăng,SUV,Mercedes,11
BMW 320i M Sport 2017,798000000,2017,Xe cũ,Nhập khẩu,73000.0,xăng,Sedan,BMW,8
Kia Carnival 2.2D Signature 2023,1310000000,2023,Xe cũ,Trong nước,30000.0,dầu,MPV,Kia,2
VinFast LUX A2.0 Cao cấp 2021,525000000,2021,Xe cũ,Trong nước,86000.0,xăng,Sedan,VinFast,4
